Timestamp	Experimenter name	Box number	Color code	Experiment Time	Fraction LED On in 5 minute stimulus period	Genotype
4/20/2021 16:16:34	Samuel Woehrle	5	Green	3:21:00 PM	0.068	CS
4/20/2021 16:34:47	Renée Cuntz	8	Red	2:38:00 PM	0.682	Gr43>Chrimson
4/20/2021 16:36:32	Renée Cuntz	8	Red	3:01:00 PM	0.648	Gr43>Chrimson
4/20/2021 16:37:27	Natalie	4	Red	1:13:00 PM	0.527	Gr43>Chrimson
4/20/2021 16:37:30	Renée Cuntz	8	Red	3:29:00 PM	1	Gr43>Chrimson
4/20/2021 16:38:29	Renée Cuntz	8	Blue	3:48:00 PM	0.198	CS
4/20/2021 16:39:37	Renée Cuntz	8	Blue	4:24:00 PM	0.04	CS
4/20/2021 16:40:27	chris	2	Red	2:52:00 PM	0.468	Gr43>Chrimson
4/20/2021 16:40:31	Natalie	4	Red	4:18:00 PM	0.154	Gr43>Chrimson
4/20/2021 16:40:57	Samuel Woehrle	5	Blue	1:41:00 PM	0.477	Gr43>Chrimson
4/20/2021 16:41:22	Anastasiia	3	Blue	2:59:00 PM	0.5	Gr43>Chrimson
4/20/2021 16:41:32	Hanna Panaseiko	7	Green	2:35:00 PM	0.047	CS
4/20/2021 16:42:31	Hanna Panaseiko	7	Green	3:49:00 PM	0.024	CS
4/20/2021 16:42:31	Anastasiia	3	Green	1:25:00 PM	0.083	CS
4/20/2021 16:43:18	Anatasiia	3	Blue	3:18:00 PM	0.176	Gr43>Chrimson
4/20/2021 16:43:20	Chris	2	Red	1:59:00 PM	0.438	Gr43>Chrimson
4/20/2021 16:44:07	Anastasiia	3	Green	3:46:00 PM	0.06	CS
4/20/2021 16:46:07	Hanna Panaseiko	7	Blue	1:47:00 PM	0.482	Gr43>Chrimson
4/20/2021 16:46:13	Samuel Woehrle	5	Blue	2:01:00 PM	0.526	Gr43>Chrimson
4/20/2021 16:47:08	Hanna Panaseiko	7	Blue	3:30:00 PM	0.624	Gr43>Chrimson
4/20/2021 16:48:24	Samuel Woehrle	5	Blue	2:30:00 PM	1	Gr43>Chrimson
4/20/2021 16:50:36	Chris	2	Red	2:35:00 PM	0.911	Gr43>Chrimson
4/20/2021 16:51:47	Chris	2	Red	3:10:00 PM	1	Gr43>Chrimson
4/20/2021 16:54:27	Patricia	6	Red	1:41:00 PM	0.528	Gr43>Chrimson
4/20/2021 16:54:52	Patricia	6	Red	2:21:00 PM	0.487	Gr43>Chrimson
4/20/2021 16:55:24	Chris	2	Blue	3:56:00 PM	0.304	CS
4/20/2021 16:55:27	Patricia	6	Red	3:03:00 PM	0.443	Gr43>Chrimson
4/20/2021 16:55:59	Patricia	6	Red	3:26:00 PM	0.927	Gr43>Chrimson
4/20/2021 16:56:26	Patricia	6	Blue	4:24:00 PM	0.008	CS
4/20/2021 16:56:33	Chris	2	Blue	4:31:00 PM	0.072	CS
4/20/2021 17:00:12	Hanna Panaseiko	7	Blue	4:33:00 PM	0.571	Gr43>Chrimson
4/21/2021 15:06:20	Poojashree	7	Blue	11:14:00 AM	0.815	Gr43>Chrimson
4/21/2021 15:06:57	Poojashree	7	Green	11:55:00 AM	0.135	CS
4/21/2021 15:18:26	Poojashree	7	Green	1:25:00 PM	0.815	CS
4/21/2021 15:13:56	Inga	1	Green	11:52:00 AM	0.011	CS
4/21/2021 15:16:19	Inga	1	Green	1:19:00 PM	0.085	CS
4/21/2021 15:18:56	Poojashree	7	Green	2:12:00 PM	0.088	CS
4/21/2021 15:21:33	Inga	1	Green	1:38:00 PM	0.048	CS
4/21/2021 15:23:33	Inga	1	Green	1:56:00 PM	0.31	CS
4/21/2021 15:28:24	Inga	1	Green	2:16:00 PM	0.017	CS
4/21/2021 15:32:52	Srilekha Marmavula	2	Blue	11:23:00 AM	0.251	CS
4/21/2021 15:33:38	Srilekha Marmavula	2	Blue	12:03:00 PM	0.019	CS
4/21/2021 15:35:41	Inga	1	Blue	2:59:00 PM	0.28	Gr43>Chrimson
